Well.Position,Temperature,Fluorescence,Normalized,tm,Protein,Ligand
C02,42.308594,118891.48,0.280215568080345,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,42.36806,121125.48,0.286128995132426,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,42.42753,123395.086,0.292136671729547,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,42.487,125700.445,0.298238986982617,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,42.546467,128041.625,0.304436120888523,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,42.605934,130418.7,0.310728269326225,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,42.665405,132831.84,0.317115882287935,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,42.724873,135281.25,0.323599502411319,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,42.78434,137767.17,0.330179764979498,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,42.843807,140289.8,0.336857199395072,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,42.90328,142849.16,0.343631858598302,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,42.962746,145445.23,0.350503689648927,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,43.022213,148078.05,0.357472798427469,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,43.081684,150747.56,0.364539026113146,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,43.14115,153453.86,0.371702637407259,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,43.20062,156197.22,0.378964347003319,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,43.260086,158977.92,0.386324896064968,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,43.319557,161796.17,0.393784840464937,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,43.379025,164651.98,0.401344206673354,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,43.43849,167545.39,0.409003100570742,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,43.497963,170476.42,0.416761575097359,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,43.55743,173445.08,0.424619656723336,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,43.616898,176451.28,0.432577107217503,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,43.676365,179494.92,0.440633661878558,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,43.735836,182575.7,0.448788526602601,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,43.795303,185693.22,0.45704064258443,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,43.85477,188846.78,0.465388156914942,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,43.91424,192035.69,0.473829243155163,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,43.97371,195259.16,0.48236181016482,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,44.033176,198516.17,0.490983157990648,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,44.092644,201805.55,0.499690189627432,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,44.152115,205125.97,0.508479384547877,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,44.211582,208476.06,0.517347116344165,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
C02,44.27105,211854.19,0.5262890703851,44.9252,CA121,3-(4-hydroxyphenyl)propanoic acid
