Well.Position,Temperature,Fluorescence,Normalized,norm_deriv,tm
A02,49.40233,50354.69,0.314823782001758,0.0236089507758316,54.330124
A02,49.4617,50473.92,0.316225445409319,0.0240544773987097,54.330124
A02,49.52107,50595.4,0.31765355973248,0.0245114887078644,54.330124
A02,49.58044,50719.188,0.319108806817066,0.0249880534620194,54.330124
A02,49.639812,50845.387,0.320592397527213,0.0254993027907646,54.330124
A02,49.699184,50974.168,0.322106342132507,0.026038994547678,54.330124
A02,49.758553,51105.668,0.323652251199808,0.0265972933817839,54.330124
A02,49.817924,51239.992,0.325231359105178,0.0271718523957048,54.330124
A02,49.877296,51377.22,0.326844606325615,0.0277593886373693,54.330124
A02,49.93667,51517.42,0.32849279226657,0.0283678165027945,54.330124
A02,49.996037,51660.676,0.330176904428892,0.0290025156474486,54.330124
A02,50.05541,51807.152,0.331898870790428,0.0296801915687337,54.330124
A02,50.11478,51957.043,0.333660983763864,0.0303991385340883,54.330124
